// Gerado por `qualis coletar-eventos`. Edite à mão se precisar:
// linhas iniciadas por // são ignoradas, e a coluna h5 vence.
// h5_fonte=scholar é o dado que o Documento de Área manda usar;
// h5_fonte=sbc-2024 é a coluna da planilha da SBC, que está
// desatualizada e serve só como referência.
// ambiguo=1: o Scholar tem mais de uma entrada para o evento,
// com h5 diferentes; ficamos com o maior. Confira esses casos.
// anos_tradicao fica vazio: não há fonte verificável em massa.
sigla,nome,h5,ce_sbc,anos_tradicao,segue_gt_capes,h5_fonte,h5_sbc,ambiguo,ces,entradas_scholar
AofA,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms",,relevante,,1,nenhum,,0,CE-ACO,
APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,40,relevante,,1,scholar,12,1,CE-CCI,"IEEE International Symposium on Circuits and Systems (h5=40) || IEEE Asia Pacific Conference on Circuits and Systems, APCCAS (h5=12)"
APLAS,Asian Symposium on Programming Languages and Systems,,relevante,,1,nenhum,13,0,CE-LP,
APNOMS,Asia-Pacific Network Operations and Management Symposium,,relevante,,1,nenhum,,0,CE-RESD,
APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,,top20,,1,nenhum,18,0,CE-ACO,
APWEB,Asia-Pacific Web Conference,13,relevante,,1,scholar,11,0,CE-BD,APWeb-WAIM International Joint Conference on Web and Big Data (h5=13)
ARC,Applied Reconfigurable Computing,10,relevante,,1,scholar,13,0,CE-CCI|CE-ESC,Applied Reconfigurable Computing (h5=10)
ARCS,International Conference on Architecture of Computing Systems,,relevante,,1,nenhum,8,0,CE-ACPAD|CE-ESC,
ARES,"International Conference on Availability, Reliability and Security",35,top20,,1,scholar,34,0,CE-SEG,"International Conference on Availability, Reliability and Security, ARES (h5=35)"
ARIC,International Workshop on Intelligent and Resilient Cities,,relevante,,1,nenhum,,0,CE-Geoinformática,
ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),8,relevante,,1,scholar,10,0,CE-R,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO) (h5=8)
ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",20,relevante,,1,scholar,20,1,CE-ACPAD|CE-CCI|CE-ESC,"IEEE International Conference on Application-specific Systems, Architectures and Processors, ASAP (h5=20) || ASAP/Journal (h5=7)"
ASE,IEEE/ACM International Conference on Automated Software Engineering,57,top10,,1,scholar,54,1,CE-ES,IEEE/ACM International Conference on Automated Software Engineering (ASE) (h5=57) || Automated Software Engineering (h5=29)
ASIACCS,"ACM Symposium on Information, Computer and Communications Security",,top10,,1,nenhum,39,0,CE-SEG,
ASIACRYPT,International Conference on The Theory and Application of Cryptology and Information Security,53,top10,,1,scholar,46,0,CE-SEG,International Conference on The Theory and Application of Cryptology and Information Security (ASIACRYPT) (h5=53)
